position,title
Q18996,First Minister
Q5261031,Deputy First Minister
Q33109040,Cabinet Secretary for Communities and Children
Q32947387,Cabinet Secretary for Economy and Infrastructure
Q45347415,Cabinet Secretary for Economy and Transport
Q33109037,Cabinet Secretary for Education
Q45347344,"Cabinet Secretary for Energy, Planning and Rural Affairs"
Q33109051,Cabinet Secretary for Environment and Rural Affairs
Q44914284,Cabinet Secretary for Finance
Q33109044,Cabinet Secretary for Finance and Local Government
Q45346940,Cabinet Secretary for Health and Social Services
Q32947395,"Cabinet Secretary for Health, Well-being & Sport"
Q44911832,Cabinet Secretary for Local Government and Public Services
Q32947389,Minister for Agriculture and Rural Development
Q32947092,Minister for Assembly Business
Q32947164,Minister for Budget and Business Management
Q33108982,Minister for Business and Budget
Q23602586,"Minister for Business, Enterprise, Technology and Science"
Q45347984,Minister for Children and Social Care
Q33108961,"Minister for Children, Education and Lifelong Learning"
Q32947327,"Minister for Children, Education, Lifelong Learning and Skills"
Q107583514,Minister for Climate Change
Q25713806,Minister for Communities and Tackling Poverty
Q33106228,Minister for Culture
Q45347662,"Minister for Culture, Tourism and Sport"
Q32947313,"Minister for Culture, Welsh Language and Sport"
Q32859667,Minister for Economic Development
Q33108626,Minister for Economic Development and Transport
Q107583548,Minister for Economy
Q6865999,Minister for the Economy and Transport
Q60370166,Minister for Economy and Transport
Q33106246,Minister for Education
Q60370401,Minister for Education
Q23196598,Minister for Education and Skills
Q107583630,Minister for Education and Welsh Language
Q33108882,"Minister for Education, Culture and the Welsh Language"
Q45347855,Minister for Environment
Q32947432,Minister for Environment & Sustainable Development
Q60370447,"Minister for Environment, Energy and Rural Affairs"
Q33108632,"Minister for Environment, Planning and Countryside"
Q32947316,"Minister for Environment, Sustainability and Housing"
Q32859668,"Minister for Environment, Transport and Planning"
Q6865829,Minister for Finance
Q33106302,Minister for Finance and Local Government
Q33108890,Minister for Finance and Public Service Delivery
Q60368676,Minister for Finance and Trefnydd
Q33106254,Minister for Health & Social Care
Q6865862,Minister for Health and Social Services
Q60368713,Minister for Health and Social Services
Q25713775,Minister for Heritage
Q60370277,Minister for Housing and Local Government
Q45347773,Minister for Housing and Regeneration
Q60369940,Minister for International Relations and the Welsh Language
Q96393301,Minister for Local Government
Q32947396,Minister for Local Government and Communities
Q23304121,Minister for Local Government and Regeneration
Q107063175,Minister for North Wales
Q25713804,Minister for Public Services
Q32947412,Minister for Rural Affairs
Q32947189,Minister for Skills and Science
Q107583662,Minister for Social Justice
Q32947310,Minister for Social Justice and Local Government
Q32947397,Minister for Social Justice and Public Service Delivery
Q33108635,Minister for Social Justice and Regeneration
Q32947404,Minister for Social Services & Public Health
Q32947174,Minister for Sustainability and Rural Development
Q45347919,Minister for Welsh Language and Lifelong Learning
Q33105879,Secretary for Agriculture and the Rural Economy
Q33105970,Secretary for Economic Development and European Affairs
Q33106014,Secretary for Education
Q33106025,Secretary for Education and Training (Post-16)
Q32947469,Secretary for Finance
Q32947381,Secretary for Health & Social Services
Q33106058,Secretary for Local Government and Regeneration
Q60370495,Deputy Minister and Chief Whip
Q107583881,Deputy Minister for Arts and Sport
Q107583756,Deputy Minister for Climate Change
Q60370070,"Deputy Minister for Culture, Sport and Tourism"
Q60370254,Deputy Minister for Economy and Transport
Q60368747,Deputy Minister for Health and Social Services
Q60370330,Deputy Minister for Housing and Local Government
Q107583952,Deputy Minister for Mental Health and Wellbeing
Q25991475,Deputy Minister for Regeneration
Q32947300,"Deputy Minister for Science, Innovation and Skills"
Q107583849,Deputy Minister for Social Partnership
Q107583810,Deputy Minister for Social Services
Q107583356,Trefnydd
Q5096735,Chief Executive and Clerk of the Senedd
Q32947134,Chief Whip
Q5176615,Counsel General
Q45347501,Leader of the House and Chief Whip
