pageid,title,wikidata,label
416961,Huw Irranca-Davies,Q691388,Huw Irranca-Davies
416980,Julie Morgan,Q6308404,Julie Morgan
723676,"Eluned Morgan, Baroness Morgan of Ely",Q336521,"Eluned Morgan, Baroness Morgan of Ely"
1444213,Jane Hutt,Q6152404,Jane Hutt
11194647,Lesley Griffiths,Q6530486,Lesley Griffiths
11203126,Lynne Neagle,Q6709399,Lynne Neagle
31752510,Mick Antoniw,Q6838044,Mick Antoniw
31756803,Vaughan Gething,Q7917285,Vaughan Gething
32510702,Jeremy Miles,Q24706040,Jeremy Miles
33580665,Mark Drakeford,Q6767407,Mark Drakeford
33823945,Julie James,Q6308284,Julie James
36851699,Rebecca Evans (politician),Q7301733,Rebecca Evans
50444151,Lee Waters,Q24039661,Lee Waters
50453999,Hannah Blythyn,Q24039145,Hannah Blythyn
50511862,Dawn Bowden,Q24050164,Dawn Bowden
