item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q24050164,Dawn Bowden,Q107583881,Deputy Minister for Arts and Sport,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q24050164-8D376749-6B80-4A9D-AA7E-FCCD64F8A763
Q5346948,Edwina Hart,Q23602586,"Minister for Business, Enterprise, Technology and Science",2011-05-13T00:00:00Z,2016-05-07T00:00:00Z,,,,Q3396810,Ieuan Wyn Jones,Q603908,to be announced,,,,,,Q5346948-B6A9D79A-CDB5-433E-BCE8-7C682E9972D0
Q5346948,Edwina Hart,Q6865829,Minister for Finance,1999-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,,,,,,,,,,,Q5346948-03b48f77-44b0-40c2-cb59-e949534a2d7a
Q5346948,Edwina Hart,Q33106302,Minister for Finance and Local Government,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q5346948-ce9d51e0-4b08-b153-41c6-294843accd44
Q5346948,Edwina Hart,Q6865862,Minister for Health and Social Services,2007-05-04T00:00:00Z,2011-05-11T00:00:00Z,,,,Q4963833,Brian Gibbons,Q6530486,Lesley Griffiths,,,,,,Q5346948-d312f44a-4ab0-4e8d-8f78-2628ce587c1c
Q5346948,Edwina Hart,Q33108635,Minister for Social Justice and Regeneration,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,,,,,,,,,,,,,Q5346948-27b1464d-4719-5cea-4400-4a0071eaf750
Q5346948,Edwina Hart,Q32947469,Secretary for Finance,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,,,,,,,,,,,,,Q5346948-5671f182-4bf0-3661-5541-2a35f410724e
Q5361084,Elin Jones,Q32947412,Minister for Rural Affairs,2007-07-19T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,,,,Q5361084-20fa8d18-48c5-d503-40d9-04dbe0bceed3
Q336521,"Eluned Morgan, Baroness Morgan of Ely",Q60368713,Minister for Health and Social Services,2021-05-13T00:00:00Z,,,,,Q7917285,Vaughan Gething,,,,,https://gov.wales/cabinet-members-and-ministers,Eluned Morgan,,Q336521-20fbaaf5-45b0-6ebe-a9b2-cb50b12ff45d
Q336521,"Eluned Morgan, Baroness Morgan of Ely",Q60369940,Minister for International Relations and the Welsh Language,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,,,,Q336521-67892bcc-4337-e60d-320d-f7c920270978
Q336521,"Eluned Morgan, Baroness Morgan of Ely",Q45347919,Minister for Welsh Language and Lifelong Learning,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,Q4737493,Alun Davies,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q336521-44abcb1d-4fd2-dd01-bf79-c710450836fb
Q24039145,Hannah Blythyn,Q60370330,Deputy Minister for Housing and Local Government,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,,,,Q24039145-10207ce3-414b-f45d-a380-18a6b594ca13
Q24039145,Hannah Blythyn,Q107583849,Deputy Minister for Social Partnership,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q24039145-f7d880c1-49d1-1f75-7b6a-e6b21c7bcd33
Q24039145,Hannah Blythyn,Q45347855,Minister for Environment,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q24039145-c8a5a8e4-4782-cf00-a60b-228253f77638
Q691388,Huw Irranca-Davies,Q45347984,Minister for Children and Social Care,2017-11-03T00:00:00Z,,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q691388-cc986ebc-4819-eb81-1e10-837942da666f
Q5951262,Huw Lewis,Q25713806,Minister for Communities and Tackling Poverty,,,,,,,,,,,,,,,Q5951262-ccd05167-4e5d-ade8-3ba2-22e3775a66c6
Q5951262,Huw Lewis,Q23196598,Minister for Education and Skills,2013-06-26T00:00:00Z,2016-05-07T00:00:00Z,,,,Q6519732,Leighton Andrews,Q5660402,Kirsty Williams,,,,,,Q5951262-b4e5ac09-4ada-8956-0129-2bbed1de0410
Q3396810,Ieuan Wyn Jones,Q5261031,Deputy First Minister for Wales,2007-07-11T00:00:00Z,2011-05-13T00:00:00Z,,,,Q336526,"Mike German, Baron German",,,,,,,,Q3396810-AA66CE29-5CBA-4728-AF7D-9406B3BDC7B1
Q3396810,Ieuan Wyn Jones,Q23602586,"Minister for Business, Enterprise, Technology and Science",2007-01-01T00:00:00Z,2011-01-01T00:00:00Z,,,,Q4963833,Brian Gibbons,Q5346948,Edwina Hart,,,,,,Q3396810-3a8226b7-4405-e813-287e-f978993682b1
Q3396810,Ieuan Wyn Jones,Q6865999,Minister for the Economy and Transport,2007-07-19T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,,,,Q3396810-8dc19c5a-4eea-4127-8b7d-d008f563d85e
Q6152128,Jane Davidson,Q33106246,Minister for Education,2000-02-09T00:00:00Z,2007-05-25T00:00:00Z,,,,,,,,,,,,,Q6152128-52b5a2bd-4fb4-67d7-7c8b-6ccf802bdd20
Q6152128,Jane Davidson,Q32947316,"Minister for Environment, Sustainability and Housing",2007-07-19T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,http://www.assembly.wales/en/bus-home/research/bus-assembly-publications-monitoring-services/Pages/key-events-third-assembly.aspx#December2009,,,Q6152128-cdd63163-4f25-9e98-6834-c5781afe7878
Q6152128,Jane Davidson,Q32947174,Minister for Sustainability and Rural Development,2007-05-31T00:00:00Z,2007-07-19T00:00:00Z,,,,,,,,,,,,,Q6152128-a72ad9c6-4eef-be26-2543-ccfaa156a8ee
Q6152404,Jane Hutt,Q60370495,Deputy Minister and Chief Whip,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,,,,Q6152404-822be9bf-46ae-2bf1-8db5-190aab6058d1
Q6152404,Jane Hutt,Q45347501,Leader of the House and Chief Whip,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2016/taking-wales-forward/?lang=en,,,Q6152404-0c8247a8-4253-28fa-53a9-4cb33cb8636e
Q6152404,Jane Hutt,Q45347501,Leader of the House and Chief Whip,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q6152404-0c8247a8-4253-28fa-53a9-4cb33cb8636e
Q6152404,Jane Hutt,Q32947164,Minister for Budget and Business Management,2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,,,,,,,,,,,,,Q6152404-30756edb-44d4-1a14-65f3-af3250689eb0
Q6152404,Jane Hutt,Q33108982,Minister for Business and Budget,2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,,,,Q6152404-d56ab188-4367-6103-7b74-8f9603562332
Q6152404,Jane Hutt,Q32947327,"Minister for Children, Education, Lifelong Learning and Skills",2007-07-19T00:00:00Z,2009-12-01T00:00:00Z,,,,,,,,,,,,,Q6152404-ada3c9e4-4ffc-87c9-bf4e-b41694042f26
Q6152404,Jane Hutt,Q23196598,Minister for Education and Skills,2007-07-19T00:00:00Z,2010-12-09T00:00:00Z,,,,,,Q6519732,Leighton Andrews,,,,,,Q6152404-E940CBFC-D8F2-4AC2-803F-66B9C2A9090F
Q6152404,Jane Hutt,Q6865829,Minister for Finance,2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,,,,,,,,,,,,,Q6152404-45855006-45b6-0d51-622f-8a0c04f22d87
Q6152404,Jane Hutt,Q6865829,Minister for Finance,2009-12-09T00:00:00Z,2016-05-01T00:00:00Z,,,,,,Q6767407,Mark Drakeford,,,,,,Q6152404-1e07c33d-43b7-511f-42d4-f62d936fd984
Q6152404,Jane Hutt,Q33106254,Minister for Health & Social Care,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q6152404-4d044680-4873-6629-3cbe-71f82f4e9403
Q6152404,Jane Hutt,Q33106254,Minister for Health & Social Care,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,,,,,,,,,,,,,Q6152404-9deefc2c-471e-de5a-edef-2c1d3446f9b4
Q6152404,Jane Hutt,Q107583662,Minister for Social Justice,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q6152404-94adb83f-479a-ffd3-f8be-aeca2b1ff36a
Q6152404,Jane Hutt,Q32947381,Secretary for Health & Social Services,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,,,,,,,,,,,,,Q6152404-cac97af5-4ac7-b4d6-64cc-28703b26e51b
Q6154241,Janice Gregory,Q32947134,Chief Whip,2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,http://www.assembly.wales/en/bus-home/research/bus-assembly-publications-monitoring-services/Pages/key-events-third-assembly.aspx#December2009,,,Q6154241-43efc835-4463-21cb-e1b3-e19b84d62cfd
Q1687064,Jenny Randerson,Q5261031,Deputy First Minister for Wales,2001-07-06T00:00:00Z,2002-06-13T00:00:00Z,,,,,,,,,,,,,Q1687064-65bf6312-408b-5964-3fd8-efc3e2947a92
Q1687064,Jenny Randerson,Q33106228,Minister for Culture,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q1687064-9eff1809-4299-43a0-2911-f740efb3f015
Q24706040,Jeremy Miles,Q5176615,Counsel General for Wales,2017-11-03T00:00:00Z,2021-05-13T00:00:00Z,,,,Q6838044,Mick Antoniw,Q6838044,Mick Antoniw,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q24706040-46bdd9d3-4a3b-a09f-6a86-df1ede15a95e
Q24706040,Jeremy Miles,Q107583630,Minister for Education and Welsh Language,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,Jeremy Miles,Minister for Education and Welsh Language,Q24706040-c0d4d142-443e-bb46-4e7f-dca80caf48e9
Q6236400,John Griffiths,Q5176615,Counsel General for Wales,2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,,Q7781834,Theodore Huckle,,,http://www.bbc.co.uk/news/uk-wales-13581717,,,Q6236400-64be853f-4a83-6bc9-6d0e-4cbf8522b6e3
Q6236400,John Griffiths,Q32947432,Minister for Environment & Sustainable Development,2011-05-11T00:00:00Z,2016-05-18T00:00:00Z,,,,,,,,,,,,,Q6236400-c164326f-49de-aee7-d741-5368118e2ff1
Q6308284,Julie James,Q45347501,Leader of the House and Chief Whip,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,,,,Q6308284-b244b377-43ef-902d-8123-27e5f57ed34b
Q6308284,Julie James,Q107583514,Minister for Climate Change,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,Julie James,Minister for Climate Change,Q6308284-b4d8fb8e-4c29-9efb-c839-b40e193626ea
Q6308284,Julie James,Q60370277,Minister for Housing and Local Government,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,Q4737493,Alun Davies,Q7301733,Rebecca Evans,,,,,,Q6308284-f60fe746-4af9-82fe-e6c0-9455b09049e0
Q6308284,Julie James,Q32947189,Minister for Skills and Science,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2016/taking-wales-forward/?lang=en,,,Q6308284-37f8116d-4c16-d80c-22fc-206126b5be68
Q6308284,Julie James,Q32947189,Minister for Skills and Science,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q6308284-37f8116d-4c16-d80c-22fc-206126b5be68
Q6308404,Julie Morgan,Q60368747,Deputy Minister for Health and Social Services,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,https://gov.wales/newsroom/firstminister/2018/181213-first-minister-announces-new-cabinet/?skip=1&lang=en,,,Q6308404-fba3f1a6-430d-0c69-7ada-362a01df481b
Q6308404,Julie Morgan,Q107583810,Deputy Minister for Social Services,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q6308404-c77f5336-4055-c99e-491d-0006cc63cd79
Q6370035,Karen Sinclair,Q32947092,Minister for Assembly Business,2003-05-01T00:00:00Z,2005-09-01T00:00:00Z,,,,Q4756771,Andrew Davies,,,,,,,,Q6370035-6eae33a9-40cf-0b56-b313-8491066c2e45
Q6388501,Ken Skates,Q32947387,Cabinet Secretary for Economy and Infrastructure,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2016/taking-wales-forward/?lang=en,,,Q6388501-483e59f2-47d9-a512-046b-870e76bdb286
Q6388501,Ken Skates,Q45347415,Cabinet Secretary for Economy and Transport,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q6388501-08bf7e80-4ca0-35a9-7036-1e58d08668cc
Q6388501,Ken Skates,Q60370166,Minister for Economy and Transport,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,Q7917285,Vaughan Gething,,,,,,Q6388501-e6637ffc-4217-66b9-950e-cb35d59ff9ef
Q6388501,Ken Skates,Q107063175,Minister for North Wales,2018-12-13T00:00:00Z,2021-05-12T00:00:00Z,,,,,,,,,,,,,Q6388501-a2f56e3f-4ced-e1eb-898f-1d0f345a60d8
Q5660402,Kirsty Williams,Q33109037,Cabinet Secretary for Education,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,,,,Q5660402-e1f93fdd-4610-8a2d-8f91-1d3f4a380ff9
Q5660402,Kirsty Williams,Q60370401,Minister for Education,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,Q5951262,Huw Lewis,Q24706040,Jeremy Miles,,,,,,Q5660402-b22ccf41-480a-e0d3-8f77-9866f1534d92
Q5660402,Kirsty Williams,Q23196598,Minister for Education and Skills,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,Q5951262,Huw Lewis,,,,,,,,Q5660402-8ffecfbb-4767-a870-c8b0-dfaaf5497d50
Q24039661,Lee Waters,Q107583756,Deputy Minister for Climate Change,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q24039661-007cf456-4701-9ef8-bf74-846a2deb2784
Q24039661,Lee Waters,Q60370254,Deputy Minister for Economy and Transport,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,,,,Q24039661-70dc1b1e-4d3a-8518-4f94-c1ab908f70b5
Q6519732,Leighton Andrews,Q33108961,"Minister for Children, Education and Lifelong Learning",2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,,,,Q6519732-f6de1e4e-4a9c-f003-c59f-27528c7cb4d4
Q6519732,Leighton Andrews,Q23196598,Minister for Education and Skills,2009-12-10T00:00:00Z,2013-06-25T00:00:00Z,,,,Q6152404,Jane Hutt,Q5951262,Huw Lewis,,,,,,Q6519732-2473d291-40ea-c58f-ff78-740d4f37a996
Q6519732,Leighton Andrews,Q25713804,Minister for Public Services,2014-01-01T00:00:00Z,2016-01-01T00:00:00Z,,,,,,,,,,,,,Q6519732-598d9443-406b-4419-12b2-86bc59c23f2e
Q6530486,Lesley Griffiths,Q45347344,"Cabinet Secretary for Energy, Planning and Rural Affairs",2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q6530486-91679fe3-4132-1907-9ec6-d16c76e29599
Q6530486,Lesley Griffiths,Q33109051,Cabinet Secretary for Environment and Rural Affairs,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2016/taking-wales-forward/?lang=en,,,Q6530486-59f29799-475d-99e0-4735-e4dd37c4dd8b
Q6530486,Lesley Griffiths,Q32947300,"Deputy Minister for Science, Innovation and Skills",2009-12-10T00:00:00Z,2011-05-11T00:00:00Z,Q27957663,First Jones ministry,,,,,,,,,,,Q6530486-2d4ca297-4422-09e2-db56-0cb7d1d87edb
Q6530486,Lesley Griffiths,Q60370447,"Minister for Environment, Energy and Rural Affairs",2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,Q60368325,First Drakeford minstry,,,,,,,,,,,Q6530486-c542dd3e-461f-6d2f-08e5-3d5033492a8b
Q6530486,Lesley Griffiths,Q6865862,Minister for Health and Social Services,2011-05-13T00:00:00Z,2013-05-14T00:00:00Z,,,,Q5346948,Edwina Hart,Q6767407,Mark Drakeford,,,,,,Q6530486-b2e50e40-4b1b-1260-154c-6765e02731ea
Q6530486,Lesley Griffiths,Q107063175,Minister for North Wales,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,Lesley Griffiths,Minister for Rural Affairs and North Wales,Q6530486-7014933f-4786-0106-acf0-ba00a7e30a6f
Q6530486,Lesley Griffiths,Q107583356,Trefnydd,2021-05-13T00:00:00Z,,,,,Q7301733,Rebecca Evans,,,,,https://gov.wales/cabinet-members-and-ministers,Lesley Griffiths,Trefnydd,Q6530486-0fd81365-4da7-d4aa-38d6-ebbe3bbb2a8e
Q6709399,Lynne Neagle,Q107583952,Deputy Minister for Mental Health and Wellbeing,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q6709399-29A6121F-AF60-40F7-B435-20CC3053FAB7
Q6767407,Mark Drakeford,Q44914284,Cabinet Secretary for Finance,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,,,,Q6767407-3f76be44-4f6c-32aa-b312-b111ea60fb5e
Q6767407,Mark Drakeford,Q33109044,Cabinet Secretary for Finance and Local Government,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,,,,Q6767407-044179e1-49ce-da44-b131-e03241366810
Q6767407,Mark Drakeford,Q18996,First Minister of Wales,2018-12-13T00:00:00Z,,,,4,Q111840,Carwyn Jones,,,,,https://gov.wales/cabinet-members-and-ministers,Mark Drakeford,First Minister of Wales,Q6767407-e779ec12-43a5-39e9-3257-1956907fa57a
Q6767407,Mark Drakeford,Q6865862,Minister for Health and Social Services,2013-03-14T00:00:00Z,2016-05-19T00:00:00Z,,,,Q6530486,Lesley Griffiths,Q7917285,Vaughan Gething,,,,,,Q6767407-f9629aa5-496b-639c-746e-0340c6e3fc93
Q6838044,Mick Antoniw,Q5176615,Counsel General for Wales,2016-06-01T00:00:00Z,2017-11-03T00:00:00Z,,,,,,Q24706040,Jeremy Miles,,,http://www.assembly.wales/en/memhome/Pages/MemberProfile.aspx?mid=321,,,Q6838044-275e62c6-4a35-842c-115e-dad72356730d
Q6838044,Mick Antoniw,Q5176615,Counsel General for Wales,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q6838044-1E69F61D-6074-43FB-A30E-0B31029535B4
Q336526,"Mike German, Baron German",Q5261031,Deputy First Minister for Wales,2000-10-16T00:00:00Z,2001-07-06T00:00:00Z,,,,,,Q1687064,Jenny Randerson,,,,,,Q336526-0c89e223-44ca-08fc-db48-438d5b31ea97
Q336526,"Mike German, Baron German",Q5261031,Deputy First Minister for Wales,2002-06-13T00:00:00Z,2003-05-01T00:00:00Z,,,,Q1687064,Jenny Randerson,Q3396810,Ieuan Wyn Jones,,,,,,Q336526-9DC9AD9E-64C3-4AF9-A3C4-B769EC15CA74
Q336526,"Mike German, Baron German",Q32859667,Minister for Economic Development,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q336526-ab009d75-4aee-b78c-e4cd-de8dad8c342b
Q7175376,Peter Law,Q23304121,Minister for Local Government and Regeneration,,,,,,,,,,,,,,,Q7175376-8C835A6D-0C4F-44ED-A316-E6D543380EC7
Q7175376,Peter Law,Q33106058,Secretary for Local Government and Regeneration,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,,,,,,,,,,,,,Q7175376-257e396e-4125-5ef8-eb6c-f2e209c6b7bd
Q7301733,Rebecca Evans,Q60368676,Minister for Finance and Trefnydd,2018-12-13T00:00:00Z,2021-05-13T00:00:00Z,,,,,,,,,,,,,Q7301733-14d6291d-4b52-0d66-9865-ea46034a802b
Q7301733,Rebecca Evans,Q45347773,Minister for Housing and Regeneration,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q7301733-f04318c9-451c-3601-e42f-f2a69760b8e4
Q7301733,Rebecca Evans,Q96393301,Minister for Local Government,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,Rebecca Evans,Minister for Finance and Local Government,Q7301733-d6e444c0-4b58-c542-5a93-f9ef67b3b545
