item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q4737493,Alun Davies,Q44911832,Cabinet Secretary for Local Government and Public Services,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q4737493-fcc5127f-46bb-e192-1145-03c29d7e381a
Q4737493,Alun Davies,Q45347919,Minister for Welsh Language and Lifelong Learning,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,Q336521,"Eluned Morgan, Baroness Morgan of Ely",,,,,,Q4737493-7469cd99-446f-8081-5d6f-97c68ecf2858
Q3405595,Alun Ffred Jones,Q25713775,Minister for Heritage,2008-07-22T00:00:00Z,2011-01-01T00:00:00Z,,,,Q7321239,Rhodri Glyn Thomas,,,,,,,,Q3405595-d70338c2-476e-353c-dec3-6ee6474b5bbd
Q19397,Alun Michael,Q18996,First Minister of Wales,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,,,1,,,Q333141,Rhodri Morgan,,,,,,Q19397-70E355EE-D6E7-4AA3-826A-8578185F0934
Q4737506,Alun Pugh,Q32947313,"Minister for Culture, Welsh Language and Sport",2003-01-01T00:00:00Z,2007-01-01T00:00:00Z,,,,,,,,,,,,,Q4737506-65af592b-4b51-9c8d-b7d0-9e02b74e75b8
Q4756771,Andrew Davies,Q32947134,Chief Whip,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,,,,,,,,,,,,,Q4756771-eb01f3f1-4d62-f5b4-3d89-3d8bb357f191
Q4756771,Andrew Davies,Q32947092,Minister for Assembly Business,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q4756771-cd47390b-445b-bfa4-35b7-30991cf135c9
Q4756771,Andrew Davies,Q33108626,Minister for Economic Development and Transport,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,,,,,,,,,,,,,Q4756771-813f1b62-4092-5583-d383-0c5c5ac3bf70
Q4756771,Andrew Davies,Q33108890,Minister for Finance and Public Service Delivery,2007-07-19T00:00:00Z,2009-12-09T00:00:00Z,,,,,,,,,,,,,Q4756771-5165ec57-426a-f9ce-df6c-c353dacf338b
Q4756771,Andrew Davies,Q32947397,Minister for Social Justice and Public Service Delivery,2007-05-31T00:00:00Z,2007-07-19T00:00:00Z,,,,,,,,,,,,,Q4756771-9c777e49-4f27-0521-1ed1-dc77b918f8fd
Q4963833,Brian Gibbons,Q6865862,Minister for Health and Social Services,2005-01-10T00:00:00Z,2007-05-25T00:00:00Z,Q5589375,Second Morgan ministry,,,,,,,,http://www.ashleighsurgery.wales.nhs.uk/news/2927,,,Q4963833-a0a718d0-4889-d8ae-5730-0acebcc39571
Q4963833,Brian Gibbons,Q32947310,Minister for Social Justice and Local Government,2007-07-19T00:00:00Z,2009-12-09T00:00:00Z,,,,,,,,,,,,,Q4963833-d0710dce-4096-a373-3f56-035ca6b67ea9
Q4963833,Brian Gibbons,Q6865999,Minister for the Economy and Transport,2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,Q5589377,Third Morgan ministry,,,,,,,,,,,Q4963833-52AF6998-617D-455C-8540-AE2D21D948AD
Q5040766,Carl Sargeant,Q33109040,Cabinet Secretary for Communities and Children,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,,,,,,,,,Q5040766-bd42d940-45cb-eaa4-e977-fe86c285f100
Q5040766,Carl Sargeant,Q32947134,Chief Whip,2007-05-31T00:00:00Z,2009-12-09T00:00:00Z,,,,Q6152404,Jane Hutt,,,,,http://www.assembly.wales/en/bus-home/research/bus-assembly-publications-monitoring-services/Pages/key-events-third-assembly.aspx#January2011,,,Q5040766-e993dcb1-44fa-0c79-233b-d6e438c64f61
Q5040766,Carl Sargeant,Q32947396,Minister for Local Government and Communities,2011-05-13T00:00:00Z,2013-01-01T00:00:00Z,,,,,,,,,,,,,Q5040766-d1415296-4a53-23c0-6568-d626e9b4e8ea
Q5040766,Carl Sargeant,Q32947310,Minister for Social Justice and Local Government,2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,,,,,,,,,Q5040766-c8a61aa4-496d-8a24-a52b-ab5d9135fb93
Q111840,Carwyn Jones,Q5176615,Counsel General for Wales,2007-07-19T00:00:00Z,2009-12-09T00:00:00Z,,,,,,Q6236400,John Griffiths,,,,,,Q111840-BF00BF5D-B7DC-4432-862E-9A42375AA99B
Q111840,Carwyn Jones,Q18996,First Minister of Wales,2009-12-10T00:00:00Z,2018-12-12T00:00:00Z,,,3,Q333141,Rhodri Morgan,Q6767407,Mark Drakeford,,,https://gov.wales/newsroom/firstminister/2018/181213-first-minister-announces-new-cabinet/?skip=1&lang=en,,,Q111840-1491A472-667D-43F4-85C7-161E5DEB7B16
Q111840,Carwyn Jones,Q32947389,Minister for Agriculture and Rural Development,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,,,,,,,,,,,,,Q111840-b37a64a6-45b4-18de-fb0d-3fcc46a2c544
Q111840,Carwyn Jones,Q33108882,"Minister for Education, Culture and the Welsh Language",2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,,,,Q6152128,Jane Davidson,Q6152404,Jane Hutt,,,,,,Q111840-619ffcc0-4dc6-410a-db40-aeb7075f10d9
Q111840,Carwyn Jones,Q33108632,"Minister for Environment, Planning and Countryside",2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,,,,,,,,,,,,,Q111840-9a9a9acf-426c-b25e-fca6-9c6d80288695
Q5111036,Christine Gwyther,Q33105879,Secretary for Agriculture and the Rural Economy,1999-05-12T00:00:00Z,2000-02-15T00:00:00Z,,,,,,Q111840,Carwyn Jones,,,,,,Q5111036-8051b208-4703-2ec1-c844-0478b590c505
Q333841,Dafydd Elis-Thomas,Q60370070,"Deputy Minister for Culture, Sport and Tourism",2018-12-13T00:00:00Z,2021-05-01T00:00:00Z,,,,,,,,,,,,,Q333841-a0117548-4b23-c745-4226-ec3328ba79fe
Q333841,Dafydd Elis-Thomas,Q45347662,"Minister for Culture, Tourism and Sport",2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,,,,,,,,,,http://gov.wales/newsroom/firstminister/2017/171103wg/?lang=en,,,Q333841-da239f5f-41fa-cd7c-7ab2-2f5ac412fe5d
Q24050164,Dawn Bowden,Q32947134,Chief Whip,2021-05-13T00:00:00Z,,,,,,,,,,,https://gov.wales/cabinet-members-and-ministers,,,Q24050164-2BA1DB1A-D185-4FEC-A2FB-12395D44C85F
