item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q44911832,Cabinet Secretary for Local Government and Public Services,Welsh Cabinet position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q32947134,Chief Whip,Welsh Government position,1999-05-12T00:00:00Z,,Q32859630,Cabinet of Wales,2007-07-19T00:00:00Z,,Q1307072,Chief Whip,,
Q5176615,Counsel General for Wales,Law officer of the Welsh Government,2007-07-19T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q3368517,public prosecutor general,,
Q5261031,Deputy First Minister for Wales,,2000-10-16T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q877955,deputy prime minister,,
Q60370495,Deputy Minister and Chief Whip,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q15735113,Assistant Secretary,,
Q107583881,Deputy Minister for Arts and Sport,Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q107583756,Deputy Minister for Climate Change,Welsh Cabinet position since 2021,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q60370070,"Deputy Minister for Culture, Sport and Tourism",Welsh Cabinet position,2018-12-12T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q2621182,minister of culture,,
Q60370254,Deputy Minister for Economy and Transport,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q15735113,Assistant Secretary,,
Q60368747,Deputy Minister for Health and Social Services,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q15735113,Assistant Secretary,,
Q60370330,Deputy Minister for Housing and Local Government,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q10433493,housing minister,,
Q60370330,Deputy Minister for Housing and Local Government,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q15735113,Assistant Secretary,,
Q107583952,Deputy Minister for Mental Health and Wellbeing,Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947300,"Deputy Minister for Science, Innovation and Skills",,2009-12-09T00:00:00Z,2011-05-11T00:00:00Z,,,,,Q26204040,deputy minister,,
Q107583849,Deputy Minister for Social Partnership,Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q107583810,Deputy Minister for Social Services,Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q18996,First Minister of Wales,leader of the Welsh Government,1999-05-12T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q14212,prime minister,Q3112646,Welsh Government
Q45347501,Leader of the House and Chief Whip,Welsh Cabinet position,2007-05-01T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947389,Minister for Agriculture and Rural Development,Historic cabinet position in Welsh Cabinet,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q10540834,agriculture minister,,
Q32947092,Minister for Assembly Business,Historic Welsh cabinet position,2000-02-09T00:00:00Z,2005-09-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947164,Minister for Budget and Business Management,Historic Welsh Cabinet position,2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4115952,commerce minister,,
Q32947164,Minister for Budget and Business Management,Historic Welsh Cabinet position,2007-05-25T00:00:00Z,2007-07-19T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33108982,Minister for Business and Budget,Historic Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q4115952,commerce minister,,
Q23602586,"Minister for Business, Enterprise, Technology and Science",Welsh government position,2011-05-11T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q45347984,Minister for Children and Social Care,Junior Welsh government position,2017-11-03T00:00:00Z,,Q3112646,Welsh Government,,,Q83307,minister,,
Q33108961,"Minister for Children, Education and Lifelong Learning",Historic Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q32947327,"Minister for Children, Education, Lifelong Learning and Skills","Minister for Children, Education, Lifelong Learning and Skills",2007-07-19T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q107583514,Minister for Climate Change,position in the Welsh Cabinet,2021-05-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q25713806,Minister for Communities and Tackling Poverty,Welsh minister,,,,,,,Q83307,minister,,
Q33106228,Minister for Culture,Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q2621182,minister of culture,,
Q45347662,"Minister for Culture, Tourism and Sport",Junior Welsh government position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q3112646,Welsh Government,,,Q15722501,tourism minister,,
Q45347662,"Minister for Culture, Tourism and Sport",Junior Welsh government position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q3112646,Welsh Government,,,Q2621182,minister of culture,,
Q45347662,"Minister for Culture, Tourism and Sport",Junior Welsh government position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q3112646,Welsh Government,,,Q7579929,sports minister,,
Q32947313,"Minister for Culture, Welsh Language and Sport",,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q2621182,minister of culture,,
Q32947313,"Minister for Culture, Welsh Language and Sport",,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7579929,sports minister,,
Q32859667,Minister for Economic Development,Historic Welsh Cabinet position,2000-02-22T00:00:00Z,2003-05-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33108626,Minister for Economic Development and Transport,Historic Welsh Cabinet position,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q12339722,transport minister,,
Q33108626,Minister for Economic Development and Transport,Historic Welsh Cabinet position,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q107583548,Minister for Economy,Welsh Cabinet position since 2021,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q60370166,Minister for Economy and Transport,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q12339722,transport minister,,
Q60370166,Minister for Economy and Transport,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33106246,Minister for Education,Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q60370401,Minister for Education,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q23196598,Minister for Education and Skills,Welsh cabinet minister,,,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q107583630,Minister for Education and Welsh Language,cabinet position in Wales,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q33108882,"Minister for Education, Culture and the Welsh Language",Historic Welsh Cabinet position,2007-05-25T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q2621182,minister of culture,,
Q33108882,"Minister for Education, Culture and the Welsh Language",Historic Welsh Cabinet position,2007-05-25T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q45347855,Minister for Environment,Junior Welsh government position,2017-11-03T00:00:00Z,,Q3112646,Welsh Government,,,Q4574084,environment minister,,
Q32947432,Minister for Environment & Sustainable Development,historic Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q60370447,"Minister for Environment, Energy and Rural Affairs",Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q33108632,"Minister for Environment, Planning and Countryside",Historic Welsh Cabinet position,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,Q67910861,"Department for Environment, Planning and Countryside"
Q32947316,"Minister for Environment, Sustainability and Housing",Welsh Assembly position,,,Q32859630,Cabinet of Wales,,,Q10433493,housing minister,,
Q32947316,"Minister for Environment, Sustainability and Housing",Welsh Assembly position,,,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q32859668,"Minister for Environment, Transport and Planning",Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q12339722,transport minister,,
Q32859668,"Minister for Environment, Transport and Planning",Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2003-05-01T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q6865829,Minister for Finance,member of the cabinet in the Welsh Government,2000-02-09T00:00:00Z,2016-05-18T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33106302,Minister for Finance and Local Government,Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q33106302,Minister for Finance and Local Government,Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33108890,Minister for Finance and Public Service Delivery,Historic Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q60368676,Minister for Finance and Trefnydd,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33106254,Minister for Health & Social Care,Historic Welsh Cabinet position,2000-02-09T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q6865862,Minister for Health and Social Services,Welsh Cabinet position until 2016,2007-05-25T00:00:00Z,2016-05-18T00:00:00Z,Q32859630,Cabinet of Wales,,,Q3273722,health minister,Q6954180,NHS Wales
Q60368713,Minister for Health and Social Services,Welsh Cabinet position since 2018,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q25713775,Minister for Heritage,Welsh minister,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q60370277,Minister for Housing and Local Government,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q10433493,housing minister,,
Q45347773,Minister for Housing and Regeneration,Junior Welsh government position,2017-11-03T00:00:00Z,,Q3112646,Welsh Government,,,Q10433493,housing minister,,
Q32947414,"Minister for Housing, Regeneration & Heritage",Welsh Cabinet Position,,,,,,,Q10433493,housing minister,,
Q60369940,Minister for International Relations and the Welsh Language,Welsh Cabinet position,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q96393301,Minister for Local Government,Welsh Cabinet position,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947396,Minister for Local Government and Communities,Welsh Government position,,,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q23304121,Minister for Local Government and Regeneration,Welsh government position,,,,,,,Q30776554,local government minister,,
Q107063175,Minister for North Wales,,2018-12-13T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q25713804,Minister for Public Services,Welsh minister,,,,,,,Q83307,minister,,
Q32947412,Minister for Rural Affairs,Welsh Cabinet position,1999-05-12T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947189,Minister for Skills and Science,for Wales,2016-05-01T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q10714707,science minister,,
Q45348294,Minister for Skills and Science,Welsh Cabinet position,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,Q10714707,science minister,,
Q107583662,Minister for Social Justice,Welsh Cabinet position since 2021,,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947310,Minister for Social Justice and Local Government,Welsh Cabinet Position,,,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q32947397,Minister for Social Justice and Public Service Delivery,Historic Welsh Cabinet position,2007-05-25T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q33108635,Minister for Social Justice and Regeneration,Historic Welsh Cabinet position,2003-05-01T00:00:00Z,2007-05-25T00:00:00Z,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947404,Minister for Social Services & Public Health,junior ministerial position in the Welsh Government,,,,,,,Q26204040,deputy minister,,
Q45348409,Minister for Social Services and Public Health,Welsh Cabinet position,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,,,,,Q3273722,health minister,,
Q32947174,Minister for Sustainability and Rural Development,Historic Welsh Cabinet position,2007-05-25T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q45347919,Minister for Welsh Language and Lifelong Learning,Junior Welsh government position,2016-05-19T00:00:00Z,,Q3112646,Welsh Government,,,Q83307,minister,,
Q6865999,Minister for the Economy and Transport,Historic Welsh Cabinet position,2007-06-01T00:00:00Z,2011-05-13T00:00:00Z,Q32859630,Cabinet of Wales,,,Q12339722,transport minister,,
Q6865999,Minister for the Economy and Transport,Historic Welsh Cabinet position,2007-06-01T00:00:00Z,2011-05-13T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33105879,Secretary for Agriculture and the Rural Economy,Historic Welsh Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q10540834,agriculture minister,,
Q33105970,Secretary for Economic Development and European Affairs,Historic Welsh Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33106014,Secretary for Education,Historic Welsh Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q33106025,Secretary for Education and Training (Post-16),Historic Welsh Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q32947469,Secretary for Finance,Historic Welsh Government Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q32947381,Secretary for Health & Social Services,Cabinet position in the Welsh Government,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q33106058,Secretary for Local Government and Regeneration,Historic Welsh Cabinet position,1999-05-12T00:00:00Z,2000-02-09T00:00:00Z,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q107583356,Trefnydd,leader of the Welsh Senate,,,Q32859630,Cabinet of Wales,,,,,,
