item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q33109040,Cabinet Secretary for Communities and Children,Welsh Cabinet position,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q83307,minister,,
Q32947387,Cabinet Secretary for Economy and Infrastructure,Cabinet Secretary for Economy and Infrastructure for Wales,,,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q45348169,Cabinet Secretary for Economy and Infrastructure,Welsh Cabinet position,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q45347415,Cabinet Secretary for Economy and Transport,Welsh Cabinet position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33109037,Cabinet Secretary for Education,Welsh Cabinet position,2016-05-19T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4018482,education minister,,
Q45347344,"Cabinet Secretary for Energy, Planning and Rural Affairs",Welsh Cabinet position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q33109051,Cabinet Secretary for Environment and Rural Affairs,Welsh Cabinet position,2016-05-19T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q4574084,environment minister,,
Q44914284,Cabinet Secretary for Finance,Welsh Cabinet position,2017-11-03T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q33109044,Cabinet Secretary for Finance and Local Government,Welsh Cabinet position,2016-05-18T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q30776554,local government minister,,
Q33109044,Cabinet Secretary for Finance and Local Government,Welsh Cabinet position,2016-05-18T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7614320,finance minister,,
Q45346940,Cabinet Secretary for Health and Social Services,Welsh Cabinet position,2017-11-03T00:00:00Z,2018-12-12T00:00:00Z,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q32947395,"Cabinet Secretary for Health, Well-being & Sport",Cabinet position in the Welsh Government,2016-05-18T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q32947395,"Cabinet Secretary for Health, Well-being & Sport",Cabinet position in the Welsh Government,2016-05-18T00:00:00Z,,Q32859630,Cabinet of Wales,,,Q7579929,sports minister,,
Q33109033,"Cabinet Secretary for Health, Well-being and Sport",Welsh Cabinet position,2016-05-18T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q3273722,health minister,,
Q33109033,"Cabinet Secretary for Health, Well-being and Sport",Welsh Cabinet position,2016-05-18T00:00:00Z,2017-11-03T00:00:00Z,Q32859630,Cabinet of Wales,,,Q7579929,sports minister,,
